CVE,CVSS3,EPSS,EPSS Percentile,Description,Date
CVE-2023-38950,7.5,0.79844,0.99059,ZKTeco BioTime contains a path traversal vulnerability in the iclock API that allows an unauthenticated attacker to read arbitrary files via supplying a crafted payload.,2025-05-19
CVE-2024-27443,6.1,0.25581,0.96006,"Zimbra Collaboration contains a cross-site scripting (XSS) vulnerability in the CalendarInvite feature of the Zimbra webmail classic user interface. An attacker can exploit this vulnerability via an email message containing a crafted calendar header, leading to the execution of arbitrary JavaScript code.",2025-05-19
CVE-2025-27920,,0.53143,0.97863,"Srimax Output Messenger contains a directory traversal vulnerability that allows an attacker to access sensitive files outside the intended directory, potentially leading to configuration leakage or arbitrary file access.",2025-05-19
CVE-2024-11182,6.1,0.35353,0.96914,MDaemon Email Server contains a cross-site scripting (XSS) vulnerability that allows a remote attacker to load arbitrary JavaScript code via an HTML e-mail message.,2025-05-19
CVE-2025-4428,8.8,0.24861,0.95927,"Ivanti Endpoint Manager Mobile (EPMM) contains a code injection vulnerability in the API component that allows an authenticated attacker to remotely execute arbitrary code via crafted API requests. This vulnerability results from an insecure implementation of the Hibernate Validator open-source library, as represented by CVE-2025-35036.",2025-05-19
CVE-2025-4427,7.5,0.87512,0.99421,Ivanti Endpoint Manager Mobile (EPMM) contains an authentication bypass vulnerability in the API component that allows an attacker to access protected resources without proper credentials via crafted API requests. This vulnerability results from an insecure implementation of the Spring Framework open-source library.,2025-05-19
CVE-2025-42999,,0.1876,0.95017,"SAP NetWeaver Visual Composer Metadata Uploader contains a deserialization vulnerability that allows a privileged attacker to compromise the confidentiality, integrity, and availability of the host system by deserializing untrusted or malicious content.",2025-05-15
CVE-2024-12987,9.8,0.84299,0.99269,"DrayTek Vigor2960, Vigor300B, and Vigor3900 routers contain an OS command injection vulnerability due to an unknown function of the file /cgi-bin/mainfunction.cgi/apmcfgupload of the component web management interface.",2025-05-15
CVE-2025-32756,9.8,0.13365,0.93901,"Fortinet FortiFone, FortiVoice, FortiNDR and FortiMail contain a stack-based overflow vulnerability that may allow a remote unauthenticated attacker to execute arbitrary code or commands via crafted HTTP requests.",2025-05-14
CVE-2025-32709,7.8,0.03765,0.87609,Microsoft Windows Ancillary Function Driver for WinSock contains a use-after-free vulnerability that allows an authorized attacker to escalate privileges to administrator.,2025-05-13
CVE-2025-30397,,0.20545,0.95341,Microsoft Windows Scripting Engine contains a type confusion vulnerability that allows an unauthorized attacker to execute code over a network via a specially crafted URL.,2025-05-13
CVE-2025-32706,7.8,0.12159,0.93555,Microsoft Windows Common Log File System (CLFS) Driver contains a heap-based buffer overflow vulnerability that allows an authorized attacker to elevate privileges locally.,2025-05-13
CVE-2025-32701,7.8,0.04229,0.88335,Microsoft Windows Common Log File System (CLFS) Driver contains a use-after-free vulnerability that allows an authorized attacker to elevate privileges locally.,2025-05-13
CVE-2025-30400,7.8,0.0373,0.87559,Microsoft Windows DWM Core Library contains a use-after-free vulnerability that allows an authorized attacker to elevate privileges locally.,2025-05-13
CVE-2025-47729,4.9,0.06748,0.90903,TeleMessage TM SGNL contains a hidden functionality vulnerability in which the archiving backend holds cleartext copies of messages from TM SGNL application users.,2025-05-12
CVE-2024-11120,9.8,0.63465,0.9833,"Multiple GeoVision devices contain an OS command injection vulnerability that allows a remote, unauthenticated attacker to inject and execute arbitrary system commands. The impacted products could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.",2025-05-07
CVE-2024-6047,,0.74057,0.98778,"Multiple GeoVision devices contain an OS command injection vulnerability that allows a remote, unauthenticated attacker to inject and execute arbitrary system commands. The impacted products could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.",2025-05-07
CVE-2025-27363,8.1,0.66823,0.98475,FreeType contains an out-of-bounds write vulnerability when attempting to parse font subglyph structures related to TrueType GX and variable font files that may allow for arbitrary code execution.,2025-05-06
CVE-2025-3248,9.8,0.92662,0.9974,"Langflow contains a missing authentication vulnerability in the /api/v1/validate/code endpoint that allows a remote, unauthenticated attacker to execute arbitrary code via crafted HTTP requests.",2025-05-05
CVE-2025-34028,10.0,0.63876,0.9834,"Commvault Command Center contains a path traversal vulnerability that allows a remote, unauthenticated attacker to execute arbitrary code.",2025-05-02
CVE-2024-58136,9.8,0.74817,0.98813,"Yii Framework contains an improper protection of alternate path vulnerability that may allow a remote attacker to execute arbitrary code. This vulnerability could affect other products that implement Yii, including—but not limited to—Craft CMS, as represented by CVE-2025-32432.",2025-05-02
CVE-2024-38475,,0.93787,0.9985,"Apache HTTP Server contains an improper escaping of output vulnerability in mod_rewrite that allows an attacker to map URLs to filesystem locations that are permitted to be served by the server but are not intentionally/directly reachable by any URL, resulting in code execution or source code disclosure.",2025-05-01
CVE-2023-44221,7.2,0.1516,0.94316,"SonicWall SMA100 appliances contain an OS command injection vulnerability in the SSL-VPN management interface that allows a remote, authenticated attacker with administrative privilege to inject arbitrary commands as a 'nobody' user.",2025-05-01
CVE-2025-31324,9.8,0.32762,0.96717,SAP NetWeaver Visual Composer Metadata Uploader contains an unrestricted file upload vulnerability that allows an unauthenticated agent to upload potentially malicious executable binaries.,2025-04-29
CVE-2025-1976,6.7,0.02067,0.83182,Broadcom Brocade Fabric OS contains a code injection vulnerability that allows a local user with administrative privileges to execute arbitrary code with full root privileges.,2025-04-28
CVE-2025-42599,9.8,0.11023,0.93155,"Qualitia Active! Mail contains a stack-based buffer overflow vulnerability that allows a remote, unauthenticated attacker to execute arbitrary or trigger a denial-of-service via a specially crafted request.",2025-04-28
CVE-2025-3928,8.8,0.14411,0.94149,"Commvault Web Server contains an unspecified vulnerability that allows a remote, authenticated attacker to create and execute webshells.",2025-04-28
CVE-2025-24054,5.4,0.28378,0.9633,Microsoft Windows NTLM contains an external control of file name or path vulnerability that allows an unauthorized attacker to perform spoofing over a network.,2025-04-17
CVE-2025-31201,,0.00183,0.40333,"Apple iOS, iPadOS, macOS, and other Apple products contain an arbitrary read and write vulnerability that allows an attacker to bypass Pointer Authentication.",2025-04-17
CVE-2025-31200,,0.00253,0.48462,"Apple iOS, iPadOS, macOS, and other Apple products contain a memory corruption vulnerability that allows for code execution when processing an audio stream in a maliciously crafted media file.",2025-04-17
CVE-2021-20035,6.5,0.06681,0.90852,"SonicWall SMA100 appliances contain an OS command injection vulnerability in the management interface that allows a remote authenticated attacker to inject arbitrary commands as a 'nobody' user, which could potentially lead to code execution.",2025-04-16
CVE-2024-53150,7.1,0.0014,0.34733,"Linux Kernel contains an out-of-bounds read vulnerability in the USB-audio driver that allows a local, privileged attacker to obtain potentially sensitive information.",2025-04-09
CVE-2024-53197,,0.00222,0.44824,"Linux Kernel contains an out-of-bounds access vulnerability in the USB-audio driver that allows an attacker with physical access to the system to use a malicious USB device to potentially manipulate system memory, escalate privileges, or execute arbitrary code.",2025-04-09
CVE-2025-29824,7.8,0.01891,0.82424,Microsoft Windows Common Log File System (CLFS) Driver contains a use-after-free vulnerability that allows an authorized attacker to elevate privileges locally.,2025-04-08
CVE-2025-30406,9.8,0.86029,0.99346,"Gladinet CentreStack and Triofox contains a use of hard-coded cryptographic key vulnerability in the way that the application manages keys used for ViewState integrity verification. Successful exploitation allows an attacker to forge ViewState payloads for server-side deserialization, allowing for remote code execution.",2025-04-08
CVE-2025-31161,9.8,0.80072,0.99073,"CrushFTP contains an authentication bypass vulnerability in the HTTP authorization header that allows a remote unauthenticated attacker to authenticate to any known or guessable user account (e.g., crushadmin), potentially leading to a full compromise. ",2025-04-07
CVE-2025-22457,9.8,0.38504,0.97129,"Ivanti Connect Secure, Policy Secure, and ZTA Gateways contains a stack-based buffer overflow vulnerability that allows a remote unauthenticated attacker to achieve remote code execution. ",2025-04-04
CVE-2025-24813,9.8,0.94059,0.99892,"Apache Tomcat contains a path equivalence vulnerability that allows a remote attacker to execute code, disclose information, or inject malicious content via a partial PUT request.",2025-04-01
CVE-2024-20439,9.8,0.86521,0.99368,"Cisco Smart Licensing Utility contains a static credential vulnerability that allows an unauthenticated, remote attacker to log in to an affected system and gain administrative credentials.",2025-03-31
CVE-2025-2783,,0.28801,0.96366,"Google Chromium Mojo on Windows contains a sandbox escape vulnerability caused by a logic error, which results from an incorrect handle being provided in unspecified circumstances. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",2025-03-27
CVE-2019-9875,8.8,0.11888,0.93469,Sitecore CMS and Experience Platform (XP) contain a deserialization vulnerability in the Sitecore.Security.AntiCSRF module that allows an authenticated attacker to execute arbitrary code by sending a serialized .NET object in the HTTP POST parameter __CSRFTOKEN.,2025-03-26
CVE-2019-9874,9.8,0.18393,0.94958,Sitecore CMS and Experience Platform (XP) contain a deserialization vulnerability in the Sitecore.Security.AntiCSRF module that allows an unauthenticated attacker to execute arbitrary code by sending a serialized .NET object in the HTTP POST parameter __CSRFTOKEN.,2025-03-26
CVE-2025-30154,8.6,0.30917,0.96568,reviewdog action-setup GitHub Action contains an embedded malicious code vulnerability that dumps exposed secrets to Github Actions Workflow Logs.,2025-03-24
CVE-2024-48248,8.6,0.94048,0.9989,NAKIVO Backup and Replication contains an absolute path traversal vulnerability that enables an attacker to read arbitrary files.,2025-03-19
CVE-2025-1316,9.8,0.83324,0.99225,Edimax IC-7100 IP camera contains an OS command injection vulnerability due to improper input sanitization that allows an attacker to achieve remote code execution via specially crafted requests. The impacted product could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.,2025-03-19
CVE-2025-30066,8.6,0.87857,0.99439,"tj-actions/changed-files GitHub Action contains an embedded malicious code vulnerability that allows a remote attacker to discover secrets by reading Github Actions Workflow Logs. These secrets may include, but are not limited to, valid AWS access keys, GitHub personal access tokens (PATs), npm tokens, and private RSA keys.",2025-03-18
CVE-2025-24472,,0.05528,0.89884, Fortinet FortiOS and FortiProxy contain an authentication bypass vulnerability that allows a remote attacker to gain super-admin privileges via crafted CSF proxy requests.,2025-03-18
CVE-2025-21590,4.4,0.04732,0.88993,Juniper Junos OS contains an improper isolation or compartmentalization vulnerability. This vulnerability could allows a local attacker with high privileges to inject arbitrary code.,2025-03-13
CVE-2025-24201,8.8,0.00049,0.14736,"Apple iOS, iPadOS, macOS, and other Apple products contain an out-of-bounds write vulnerability in WebKit that may allow maliciously crafted web content to break out of Web Content sandbox. This vulnerability could impact HTML parsers that use WebKit, including but not limited to Apple Safari and non-Apple products which rely on WebKit for HTML processing.",2025-03-13
CVE-2025-24993,7.8,0.03137,0.86355,Microsoft Windows New Technology File System (NTFS) contains a heap-based buffer overflow vulnerability that allows an unauthorized attacker to execute code locally.,2025-03-11
CVE-2025-24991,5.5,0.03281,0.86685,Microsoft Windows New Technology File System (NTFS) contains an out-of-bounds read vulnerability that allows an authorized attacker to disclose information locally.,2025-03-11
CVE-2025-24985,,0.01473,0.80134,Microsoft Windows Fast FAT File System Driver contains an integer overflow or wraparound vulnerability that allows an unauthorized attacker to execute code locally.,2025-03-11
CVE-2025-24984,4.6,0.22265,0.95572,Microsoft Windows New Technology File System (NTFS) contains an insertion of sensitive Information into log file vulnerability that allows an unauthorized attacker to disclose information with a physical attack. An attacker who successfully exploited this vulnerability could potentially read portions of heap memory.,2025-03-11
CVE-2025-24983,7.0,0.01229,0.78308,Microsoft Windows Win32 Kernel Subsystem contains a use-after-free vulnerability that allows an authorized attacker to elevate privileges locally.,2025-03-11
CVE-2025-26633,7.0,0.15776,0.94455,Microsoft Windows Management Console (MMC) contains an improper neutralization vulnerability that allows an unauthorized attacker to bypass a security feature locally.,2025-03-11
CVE-2024-13161,7.5,0.92138,0.997,Ivanti Endpoint Manager (EPM) contains an absolute path traversal vulnerability that allows a remote unauthenticated attacker to leak sensitive information.,2025-03-10
CVE-2024-13160,7.5,0.92967,0.99766,Ivanti Endpoint Manager (EPM) contains an absolute path traversal vulnerability that allows a remote unauthenticated attacker to leak sensitive information.,2025-03-10
CVE-2024-13159,7.5,0.93884,0.99863,Ivanti Endpoint Manager (EPM) contains an absolute path traversal vulnerability that allows a remote unauthenticated attacker to leak sensitive information.,2025-03-10
CVE-2024-57968,8.8,0.11341,0.93272,Advantive VeraCore contains an unrestricted file upload vulnerability that allows a remote unauthenticated attacker to upload files to unintended folders via upload.apsx.,2025-03-10
CVE-2025-25181,7.5,0.69539,0.98586,Advantive VeraCore contains a SQL injection vulnerability in timeoutWarning.asp that allows a remote attacker to execute arbitrary SQL commands via the PmSess1 parameter.,2025-03-10
CVE-2025-22226,6.0,0.02521,0.84815,"VMware ESXi, Workstation, and Fusion contain an information disclosure vulnerability due to an out-of-bounds read in HGFS. Successful exploitation allows an attacker with administrative privileges to a virtual machine to leak memory from the vmx process.",2025-03-04
CVE-2025-22225,8.2,0.03613,0.87359,VMware ESXi contains an arbitrary write vulnerability. Successful exploitation allows an attacker with privileges within the VMX process to trigger an arbitrary kernel write leading to an escape of the sandbox.,2025-03-04
CVE-2025-22224,8.2,0.29338,0.96412,VMware ESXi and Workstation contain a time-of-check time-of-use (TOCTOU) race condition vulnerability that leads to an out-of-bounds write. Successful exploitation enables an attacker with local administrative privileges on a virtual machine to execute code as the virtual machine's VMX process running on the host.,2025-03-04
CVE-2024-50302,5.5,0.0022,0.44571,The Linux kernel contains a use of uninitialized resource vulnerability that allows an attacker to leak kernel memory via a specially crafted HID report.,2025-03-04
CVE-2024-4885,9.8,0.94224,0.99916,Progress WhatsUp Gold contains a path traversal vulnerability that allows an unauthenticated attacker to achieve remote code execution.,2025-03-03
CVE-2018-8639,7.8,0.2752,0.96231,"Microsoft Windows Win32k contains an improper resource shutdown or release vulnerability that allows for local, authenticated privilege escalation. An attacker who successfully exploited this vulnerability could run arbitrary code in kernel mode.",2025-03-03
CVE-2022-43769,7.2,0.93926,0.99868,"Hitachi Vantara Pentaho BA Server contains a special element injection vulnerability that allows an attacker to inject Spring templates into properties files, allowing for arbitrary command execution.",2025-03-03
CVE-2022-43939,9.8,0.86725,0.99381,Hitachi Vantara Pentaho BA Server contains a use of non-canonical URL paths for authorization decisions vulnerability that enables an attacker to bypass authorization.,2025-03-03
CVE-2023-20118,7.2,0.02032,0.83048,"Multiple Cisco Small Business RV Series Routers contains a command injection vulnerability in the web-based management interface. Successful exploitation could allow an authenticated, remote attacker to gain root-level privileges and access unauthorized data.",2025-03-03
CVE-2023-34192,9.0,0.85366,0.99315,Synacor Zimbra Collaboration Suite (ZCS) contains a cross-site scripting (XSS) vulnerability that allows a remote authenticated attacker to execute arbitrary code via a crafted script to the /h/autoSaveDraft function.,2025-02-25
CVE-2024-49035,9.8,0.05203,0.89548,Microsoft Partner Center contains an improper access control vulnerability that allows an attacker to escalate privileges.,2025-02-25
CVE-2024-20953,,0.77294,0.98932,Oracle Agile Product Lifecycle Management (PLM) contains a deserialization vulnerability that allows a low-privileged attacker with network access via HTTP to compromise the system.,2025-02-24
CVE-2025-24989,9.8,0.13191,0.93849,Microsoft Power Pages contains an improper access control vulnerability that allows an unauthorized attacker to elevate privileges over a network potentially bypassing the user registration control.,2025-02-21
CVE-2025-0111,6.5,0.03862,0.87781,Palo Alto Networks PAN-OS contains an external control of file name or path vulnerability. Successful exploitation enables an authenticated attacker with network access to the management web interface to read files on the PAN-OS filesystem that are readable by the “nobody” user.,2025-02-20
CVE-2025-23209,8.1,0.03403,0.86953,"Craft CMS contains a code injection vulnerability caused by improper validation of the database backup path, ultimately enabling remote code execution.",2025-02-20
CVE-2025-0108,9.1,0.94007,0.99881,Palo Alto Networks PAN-OS contains an authentication bypass vulnerability in its management web interface. This vulnerability allows an unauthenticated attacker with network access to the management web interface to bypass the authentication normally required and invoke certain PHP scripts.,2025-02-18
CVE-2024-53704,9.8,0.93819,0.99855,SonicWall SonicOS contains an improper authentication vulnerability in the SSLVPN authentication mechanism that allows a remote attacker to bypass authentication.,2025-02-18
CVE-2024-57727,7.5,0.94052,0.99891,SimpleHelp remote support software contains multiple path traversal vulnerabilities that allow unauthenticated remote attackers to download arbitrary files from the SimpleHelp host via crafted HTTP requests. These files may include server configuration files and hashed user passwords.,2025-02-13
CVE-2025-24200,6.1,0.50009,0.9773,Apple iOS and iPadOS contains an incorrect authorization vulnerability that allows a physical attacker to disable USB Restricted Mode on a locked device.,2025-02-12
CVE-2024-41710,7.2,0.08196,0.91834,"Mitel 6800 Series, 6900 Series, and 6900w Series SIP Phones, including the 6970 Conference Unit, contain an argument injection vulnerability due to insufficient parameter sanitization during the boot process. Successful exploitation may allow an attacker to execute arbitrary commands within the context of the system.",2025-02-12
CVE-2024-40891,8.8,0.4876,0.97668,Multiple Zyxel DSL CPE devices contain a post-authentication command injection vulnerability in the management commands that could allow an authenticated attacker to execute OS commands via Telnet.,2025-02-11
